,pmid,title,abstract,disease_answer,disease_score,sample_answer,sample_score,question_answer,question_score,modality_answer,modality_score,country_answer,country_score,hospital_answer,hospital_score,database_answer,database_score,organisation_answer,organisation_score
0,35308674,Comparison of Chest Computed Tomography Between the Two Waves of Coronavirus Disease 2019 in Belgium Using Artificial Intelligence.,"Background In this study, we aimed to compare two outbreaks of coronavirus disease 2019 (COVID-19) in Belgium in tomographic and biological-clinical aspects with artificial intelligence (AI). Methodology We performed an observational retrospective study. Adult patients who were symptomatic in the first seven days with COVID-19 infection, diagnosed by chest computed tomography (CT) and/or reverse transcription-polymerase chain reaction, were included in this study. The first wave of the pandemic lasted from March 25, 2020, to May 25, 2020, and the second wave lasted from October 7, 2020, to December 7, 2020. For each wave, two subgroups were defined depending on whether respiratory failure occurred during the course of the disease. The quantitative estimation of COVID-19 lung lesions was performed by AI, radiologists, and radiology residents. The chest CT severity score was calculated by AI. Results In the 202 patients included in this study, we found statistically significant differences for obesity, hypertension, and asthma. The differences were predominant in the second wave. Moreover, a mixed distribution (central and peripherical) of pulmonary lesions was noted in the second wave, but no differences were noted regarding mortality, respiratory failure, complications, and other radiological and biological elements. Chest CT severity score was among the risk factors of mortality and respiratory failure. There was a mild agreement between AI and visual evaluation of pulmonary lesion extension (K = 0.4). Conclusions Between March and December 2020, in our cohort, for the majority of the parameters analyzed, we did not record significant changes between the two waves. AI can reduce the experience and performance gap of radiologists and better establish a hospitalization criterion.",'coronavirus disease 2019',0.668181777,'202',0.821366847,'to compare two outbreaks of coronavirus disease 2019 (COVID-19) in Belgium in tomographic and biological-clinical aspects',0.28023392,'chest computed tomography',0.524326056,'Belgium',0.875027597,'Belgium',0.010742113,'COVID-19',0.232817098,'COVID-19',0.232817098
1,35309014,A Study of Social and Behavioral Determinants of Health in Lung Cancer Patients Using Transformers-based Natural Language Processing Models.,"Social and behavioral determinants of health (SBDoH) have important roles in shaping people's health. In clinical research studies, especially comparative effectiveness studies, failure to adjust for SBDoH factors will potentially cause confounding issues and misclassification errors in either statistical analyses and machine learning-based models. However, there are limited studies to examine SBDoH factors in clinical outcomes due to the lack of structured SBDoH information in current electronic health record (EHR) systems, while much of the SBDoH information is documented in clinical narratives. Natural language processing (NLP) is thus the key technology to extract such information from unstructured clinical text. However, there is not a mature clinical NLP system focusing on SBDoH. In this study, we examined two state-of-the-art transformer-based NLP models, including BERT and RoBERTa, to extract SBDoH concepts from clinical narratives, applied the best performing model to extract SBDoH concepts on a lung cancer screening patient cohort, and examined the difference of SBDoH information between NLP extracted results and structured EHRs (SBDoH information captured in standard vocabularies such as the International Classification of Diseases codes). The experimental results show that the BERT-based NLP model achieved the best strict/lenient F1-score of 0.8791 and 0.8999, respectively. The comparison between NLP extracted SBDoH information and structured EHRs in the lung cancer patient cohort of 864 patients with 161,933 various types of clinical notes showed that much more detailed information about smoking, education, and employment were only captured in clinical narratives and that it is necessary to use both clinical narratives and structured EHRs to construct a more complete picture of patients' SBDoH factors.",'lung cancer',0.632609516,'864',0.465912864,'applied the best performing model to extract SBDoH concepts on a lung cancer screening patient cohort',0.224621266,'clinical narratives',0.380929828,'BERT and RoBERTa',0.001857242,"'clinical narratives. Natural language processing (NLP) is thus the key technology to extract such information from unstructured clinical text. However, there is not a mature clinical NLP system focusing on SBDoH. In this study, we examined two state-of-the-art transformer-based NLP models, including BERT and RoBERTa'",0.002024623,'lung cancer patient cohort',0.270736933,'lung cancer patient cohort',0.270736933
2,35308968,A Federated Mining Approach on Predicting Diabetes-Related Complications: Demonstration Using Real-World Clinical Data.,"Chronic diabetes can lead to microvascular complications, including diabetic eye disease, diabetic kidney disease, and diabetic neuropathy. However, the long-term complications often remain undetected at the early stages of diagnosis. Developing a machine learning model to identify the patients at high risk of developing diabetes-related complications can help design better treatment interventions. Building robust machine learning models require large datasets which further requires sharing data among different healthcare systems, hence, involving privacy and confidentiality concerns. The main <b>objective</b> of this study is to design a decentralized privacy-protected federated learning architecture that can deliver comparable performance to centralized learning. We demonstrate the potential of adopting federated learning to address the challenges such as class-imbalance in using real-world clinical data. In all our experiments, federated learning showed comparable performance to the gold-standard of centralized learning, and applying class balancing techniques improved performance across all cohorts.",'Chronic diabetes',0.388034329,'large datasets',0.011680413,'to design a decentralized privacy-protected federated learning architecture that can deliver comparable performance to centralized learning',0.445467412,'real-world clinical data',0.137084737,'all our experiments',0.000273526,'sharing data among different healthcare systems',0.001076368,'real-world clinical data',0.012900324,'real-world clinical data',0.012900324
3,35308960,Identifying Opioid Use Disorder from Longitudinal Healthcare Data using a Multi-stream Transformer.,"Opioid Use Disorder (OUD) is a public health crisis costing the US billions of dollars annually in healthcare, lost workplace productivity, and crime. Analyzing longitudinal healthcare data is critical in addressing many real-world problems in healthcare. Leveraging the real-world longitudinal healthcare data, we propose a novel multi-stream transformer model called MUPOD for OUD identification. MUPOD is designed to simultaneously analyze multiple types of healthcare data streams, such as medications and diagnoses, by attending to segments within and across these data streams. Our model tested on the data from 392,492 patients with long-term back pain problems showed significantly better performance than the traditional models and recently developed deep learning models.",'Opioid Use Disorder',0.571486503,"'392,492'",0.822405368,"'Analyzing longitudinal healthcare data is critical in addressing many real-world problems in healthcare. Leveraging the real-world longitudinal healthcare data, we propose a novel multi-stream transformer model called MUPOD for OUD identification'",0.102811877,'longitudinal healthcare data',0.360551566,'US',0.030675611,"'392,492'",0.005899241,"'392,492 patients with long-term back pain problems'",0.119990323,"'392,492 patients with long-term back pain problems'",0.119990323
4,35306966,Both Cross-Patient and Patient-Specific Seizure Detection Based on Self-Organizing Fuzzy Logic.,"Automatic epilepsy detection is of great significance for the diagnosis and treatment of patients. Most detection methods are based on patient-specific models and have achieved good results. However, in practice, new patients do not have their own previous EEG data and therefore cannot be initially diagnosed. If the EEG data of other patients can be used to achieve cross-patient detection, and cross-patient and patient-specific experiments can be combined at the same time, this method will be more widely used. In this work, an EEG classification model based on a self-organizing fuzzy logic (SOF) classifier is proposed for both cross-patient and patient-specific seizure detection. After preprocessing, the features of the original EEG signal are extracted and sent to the SOF classifier. This classification model is free from predefined parameters or a prior assumption regarding the EEG data generation model and only stores the key meta-parameters in memory. Therefore, it is very suitable for large-scale EEG signals in cross-patient detection. Selecting different granularity and classification distance in two different experiments after post-processing will achieve the best results. Experiments were conducted using a long-term continuous scalp EEG database and the [Formula: see text]-mean of cross-patient and patient-specific detection reached 83.35% and 92.04%, respectively. A comparison with other methods shows that there is greater performance and generalizability with this method.",'epilepsy',0.453978151,'large-scale EEG signals in cross-patient detection. Selecting different granularity and classification distance in two different experiments after post-processing will achieve the best results. Experiments were conducted using a long-term continuous scalp EEG database',0.020932735,"'Automatic epilepsy detection is of great significance for the diagnosis and treatment of patients. Most detection methods are based on patient-specific models and have achieved good results. However, in practice, new patients do not have their own previous EEG data and therefore cannot be initially diagnosed. If the EEG data of other patients can be used to achieve cross-patient detection, and cross-patient and patient-specific experiments can be combined at the same time, this method will be more widely used. In this work, an EEG classification model based on a self-organizing fuzzy logic (SOF) classifier is proposed for both cross-patient and patient-specific seizure detection'",0.151243523,"'EEG data and therefore cannot be initially diagnosed. If the EEG data of other patients can be used to achieve cross-patient detection, and cross-patient and patient-specific experiments can be combined at the same time, this method will be more widely used. In this work, an EEG classification model based on a self-organizing fuzzy logic (SOF) classifier is proposed for both cross-patient and patient-specific seizure detection. After preprocessing, the features of the original EEG signal are extracted and sent to the SOF classifier. This classification model is free from predefined parameters or a prior assumption regarding the EEG data generation model and only stores the key meta-parameters in memory. Therefore, it is very suitable for large-scale EEG signals in cross-patient detection. Selecting different granularity and classification distance in two different experiments after post-processing will achieve the best results. Experiments were conducted using a long-term continuous scalp EEG'",0.15154583,'long-term continuous scalp EEG database',0.002265991,'long-term continuous scalp EEG database',0.00126295,'long-term continuous scalp EEG database',0.589610308,'long-term continuous scalp EEG database',0.589610308
5,35309504,Transformer-Based High-Frequency Oscillation Signal Detection on Magnetoencephalography From Epileptic Patients.,"High-frequency oscillations (HFOs), observed within 80-500 Hz of magnetoencephalography (MEG) data, are putative biomarkers to localize epileptogenic zones that are critical for the success of surgical epilepsy treatment. It is crucial to accurately detect HFOs for improving the surgical outcome of patients with epilepsy. However, in clinical practices, detecting HFOs in MEG signals mainly depends on visual inspection by clinicians, which is very time-consuming, labor-intensive, subjective, and error-prone. To accurately and automatically detect HFOs, machine learning approaches have been developed and have demonstrated the promising results of automated HFO detection. More recently, the transformer-based model has attracted wide attention and achieved state-of-the-art performance on many machine learning tasks. In this paper, we are investigating the suitability of transformer-based models on the detection of HFOs. Specifically, we propose a transformer-based HFO detection framework for biomedical MEG one-dimensional signal data. For signal classification, we develop a transformer-based HFO (TransHFO) classification model. Then, we investigate the relationship between depth of deep learning models and classification performance. The experimental results show that the proposed framework outperforms the state-of-the-art HFO classifiers, increasing classification accuracy by 7%. Furthermore, we find that shallow TransHFO ( <math xmlns=""http://www.w3.org/1998/Math/MathML""><mo><</mo></math> 10 layers) outperforms deep TransHFO models (≥10 layers) on most data augmented factors.",'epilepsy',0.464471206,'MEG one-dimensional signal data',0.013328706,'detection of HFOs',0.167158443,'magnetoencephalography (MEG)',0.481073499,'biomedical MEG',0.001181816,'biomedical MEG one-dimensional signal data',0.003762421,'magnetoencephalography (MEG)',0.19039242,'magnetoencephalography (MEG)',0.19039242
6,35305619,Analysis of potential genetic biomarkers using machine learning methods and immune infiltration regulatory mechanisms underlying atrial fibrillation.,"We aimed to screen out biomarkers for atrial fibrillation (AF) based on machine learning methods and evaluate the degree of immune infiltration in AF patients in detail.Two datasets (GSE41177 and GSE79768) related to AF were downloaded from Gene expression omnibus (GEO) database and merged for further analysis. Differentially expressed genes (DEGs) were screened out using ""limma"" package in R software. Candidate biomarkers for AF were identified using machine learning methods of the LASSO regression algorithm and SVM-RFE algorithm. Receiver operating characteristic (ROC) curve was employed to assess the diagnostic effectiveness of biomarkers, which was further validated in another independent validation dataset of GSE14975. Moreover, we used CIBERSORT to study the proportion of infiltrating immune cells in each sample, and the Spearman method was used to explore the correlation between biomarkers and immune cells.129 DEGs were identified, and CYBB, CXCR2, and S100A4 were identified as key biomarkers of AF using LASSO regression and SVM-RFE algorithm. Both in the training dataset and the validation dataset, CYBB, CXCR2, and S100A4 showed favorable diagnostic effectiveness. Immune infiltration analysis indicated that, compared with sinus rhythm (SR), the atrial samples of patients with AF contained a higher T cells gamma delta, neutrophils and mast cells resting, whereas T cells follicular helper were relatively lower. Correlation analysis demonstrated that CYBB, CXCR2, and S100A4 were significantly correlated with the infiltrating immune cells.In conclusion, this study suggested that CYBB, CXCR2, and S100A4 are key biomarkers of AF correlated with infiltrating immune cells, and infiltrating immune cells play pivotal roles in AF.",'atrial fibrillation',0.597912028,'Two',0.242892258,'We aimed to screen out biomarkers for atrial fibrillation (AF) based on machine learning methods and evaluate the degree of immune infiltration in AF patients in detail',0.325322524,'GSE41177 and GSE79768',0.138758264,'GSE14975',0.003430004,'Gene expression omnibus (GEO) database',0.015785655,'Gene expression omnibus (GEO) database',0.563001677,'Gene expression omnibus (GEO) database',0.563001677
7,35308879,Dynamic Tracking of State Anxiety <i>via</i> Multi-Modal Data and Machine Learning.,"Anxiety induction is widely used in the investigations of the mechanism and treatment of state anxiety. State anxiety is accompanied by immediate psychological and physiological responses. However, the existing state anxiety measurement, such as the commonly used state anxiety subscale of the State-Trait Anxiety Inventory, mainly relies on questionnaires with low temporal resolution. This study aims to develop a tracking model of state anxiety with high temporal resolution. To capture the dynamic changes of state anxiety levels, we induced the participants' state anxiety through exposure to aversive pictures or the risk of electric shocks and simultaneously recorded multi-modal data, including dimensional emotion ratings, electrocardiogram, and galvanic skin response. Using the paired self-reported state anxiety levels and multi-modal measures, we trained and validated machine learning models to predict state anxiety based on psychological and physiological features extracted from the multi-modal data. The prediction model achieved a high correlation between the predicted and self-reported state anxiety levels. This quantitative model provides fine-grained and sensitive measures of state anxiety levels for future affective brain-computer interaction and anxiety modulation studies.",'state anxiety',0.196176894,'multi-modal data',0.032235915,'develop a tracking model of state anxiety with high temporal resolution',0.398598634,"'multi-modal data, including dimensional emotion ratings, electrocardiogram, and galvanic skin response'",0.474273294,'induced the participants' state anxiety through exposure to aversive pictures or the risk of electric shocks',0.000540993,'multi-modal data',0.00241956,'state anxiety subscale of the State-Trait Anxiety Inventory',0.448302656,'state anxiety subscale of the State-Trait Anxiety Inventory',0.448302656
8,35309831,Intelligent Algorithm-Based Ultrasound Image for Evaluating the Effect of Comprehensive Nursing Scheme on Patients with Diabetic Kidney Disease.,"This study was aimed at exploring the effect of ultrasound image evaluation of comprehensive nursing scheme based on artificial intelligence algorithms on patients with diabetic kidney disease (DKD). 44 patients diagnosed with DKD were randomly divided into two groups: group A (no nursing intervention) and group B (comprehensive nursing). In the same period, 32 healthy volunteers were selected as the control group. Ultrasonographic images based on the <i>K</i> non-local-means (KNL-Means) filtering algorithm were used to perform imaging examinations in healthy people and DKD patients before and after care. The results suggested that compared with those of the SAE reconstruction algorithm and KAVD reconstruction algorithm, the PSNR value of artificial bee colony algorithm reconstruction of image was higher and the MSE value was lower. The resistant index (RI) of DKD patients in group B after nursing was 0.63 ± 0.06, apparently distinct from the RI of the healthy people (controls) in the same group (0.58 ± 0.06) and the RI of DKD patients in group A (0.68 ± 0.07) (<i>P</i> < 0.05). The incidence rate of complications in DKD patients in group B was apparently inferior to that in group A. After comprehensive nursing intervention (CNI), the scores of all dimensions of quality of life (QoL) in DKD patients in group B were obviously superior versus those in DKD patients in group A. It suggests that implementation of nursing intervention for DKD patients can effectively help patients improve and control the level of renal function, while ultrasound images based on intelligent algorithm can dynamically detect the changes in the level of renal function in patients, which has the value of clinical promotion.",'diabetic kidney disease',0.720039606,'44',0.433767915,'exploring the effect of ultrasound image evaluation of comprehensive nursing scheme based on artificial intelligence algorithms on patients with diabetic kidney disease (DKD)',0.426087782,'ultrasound',0.384988815,'44 patients diagnosed with DKD were randomly divided into two groups: group A (no nursing intervention) and group B (comprehensive nursing)',0.000797252,'44 patients diagnosed with DKD were randomly divided into two groups: group A (no nursing intervention) and group B (comprehensive nursing)',0.002438395,'44 patients diagnosed with DKD were randomly divided into two groups: group A (no nursing intervention) and group B (comprehensive nursing)',0.024291379,'44 patients diagnosed with DKD were randomly divided into two groups: group A (no nursing intervention) and group B (comprehensive nursing)',0.024291379
9,35309227,Prediction of Atrial Fibrillation in Hospitalized Elderly Patients With Coronary Heart Disease and Type 2 Diabetes Mellitus Using Machine Learning: A Multicenter Retrospective Study.,"The objective of this study was to use machine learning algorithms to construct predictive models for atrial fibrillation (AF) in elderly patients with coronary heart disease (CHD) and type 2 diabetes mellitus (T2DM).The diagnosis and treatment data of elderly patients with CHD and T2DM, who were treated in four tertiary hospitals in Chongqing, China from 2015 to 2021, were collected. Five machine learning algorithms: logistic regression, logistic regression+least absolute shrinkage and selection operator, classified regression tree (CART), random forest (RF) and extreme gradient lifting (XGBoost) were used to construct the prediction models. The area under the receiver operating characteristic curve (AUC), sensitivity, specificity, and accuracy were used as the comparison measures between different models.A total of 3,858 elderly patients with CHD and T2DM were included. In the internal validation cohort, XGBoost had the highest AUC (0.743) and sensitivity (0.833), and RF had the highest specificity (0.753) and accuracy (0.735). In the external verification, RF had the highest AUC (0.726) and sensitivity (0.686), and CART had the highest specificity (0.925) and accuracy (0.841). Total bilirubin, triglycerides and uric acid were the three most important predictors of AF.The risk prediction models of AF in elderly patients with CHD and T2DM based on machine learning algorithms had high diagnostic value. The prediction models constructed by RF and XGBoost were more effective. The results of this study can provide reference for the clinical prevention and treatment of AF.",'atrial fibrillation (AF) in elderly patients with coronary heart disease',0.295742273,"'3,858'",0.778016597,'to use machine learning algorithms to construct predictive models for atrial fibrillation (AF) in elderly patients with coronary heart disease (CHD) and type 2 diabetes mellitus (T2DM)',0.483030304,'diagnosis and treatment data',0.611412406,'China',0.699350238,'Chongqing',0.56634517,"'diagnosis and treatment data of elderly patients with CHD and T2DM, who were treated in four tertiary hospitals in Chongqing, China'",0.168827765,"'diagnosis and treatment data of elderly patients with CHD and T2DM, who were treated in four tertiary hospitals in Chongqing, China'",0.168827765
